display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.93935] Decoding visual no. 19...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.93975] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.94010] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.94046] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.94083] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.94120] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.94157] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.94194] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.94230] Samples: 1
display  D   display_settings.c:191  debug_display_settings           [   0.94267] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.94304] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.94341] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.94378] Decoding visual no. 20...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.94417] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.94452] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.94489] Single-buffer: no
display  I           wgl_disp.c:249  display_pixel_format             [   0.94526] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.94563] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.94600] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.94637] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.94678] Samples: 1
display  D   display_settings.c:191  debug_display_settings           [   0.94715] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.94751] Score is : 1681
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.94788] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.94823] Decoding visual no. 21...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.94865] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.94900] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.94936] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.94973] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.95010] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.95047] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.95084] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.95121] Samples: 1
display  D   display_settings.c:191  debug_display_settings           [   0.95157] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.95194] Score is : 1681
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.95231] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.95268] Decoding visual no. 22...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.95308] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.95342] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.95385] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.95422] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.95459] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.95496] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.95533] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.95570] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.95607] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.95660] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.95699] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.95735] Decoding visual no. 23...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.95775] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.95809] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.95846] Single-buffer: no
display  I           wgl_disp.c:249  display_pixel_format             [   0.95883] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.95920] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.95956] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.95993] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.96030] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.96067] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.96105] Score is : 1697
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.96142] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.96179] Decoding visual no. 24...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.96218] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.96253] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.96287] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.96326] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.96363] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.96400] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.96437] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.96474] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.96511] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.96547] Score is : 1697
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.96585] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.96621] Decoding visual no. 25...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.96660] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.96698] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.96734] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.96771] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.96822] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.96861] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.96898] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.96935] Samples: 4
display  D   display_settings.c:191  debug_display_settings           [   0.96972] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.97008] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.97046] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.97082] Decoding visual no. 26...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.97122] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.97156] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.97193] Single-buffer: no
display  I           wgl_disp.c:249  display_pixel_format             [   0.97230] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.97266] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.97303] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.97340] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.97378] Samples: 4
